ref,width,height,long_edge,bytes,orientation,sharpness,use,category,drive_file_id
55,900,1600,1600,130931,portrait,17.7,gallery,art,1dSZs9nUbI5aTIiNaVzpX8tAnJ7xQwSrp
56,1280,721,1280,100223,landscape,29.6,gallery,dance,1dTWeHdAYQTK7DArzBTyyLWYD3A85SLiJ
57,1080,607,1080,62565,landscape,41.1,gallery,taekwondo,1dVZ_9N7TwEKQ4y3RlgrnA4pyI3V7eco0
58,706,875,875,105884,portrait,40.4,not used,-,1e321OO8aaD1Scm9T7Y_qsrgxrBsC3RCx
59,706,726,726,132975,square,57.3,content source (poster),poster,1fG8lm5QXOg7ByA8HxpA0ZuSfGDWlE6mM
60,899,1599,1599,231743,portrait,42.4,not used,-,1fThZR0WmqP9SOu_CSabLHkvBxJXvuY-f
61,1600,1200,1600,196658,landscape,27.1,gallery,academics,1fjJIERz3X3OJMTAsRhcrKG4WlzU3ipfY
62,1152,648,1152,106865,landscape,37.8,gallery,academics,1fznvW7tZsVl0CBPaX86gN15fjKd0ppju
63,1600,1066,1600,381228,landscape,27.4,gallery,events,1hGQyV0od72tl1REe7tdFbrC8y9KTM6wg
64,648,1152,1152,84972,portrait,36.3,gallery,art,1hPnH0N8FF-sOTXjCw0q-4HgruASMuBh5
65,1071,1077,1077,143000,square,20.1,gallery,dance,1ij65YGQpSxE_nJGfa3e8azZw0fN68BMD
66,1024,1536,1536,360403,portrait,71.2,content source (poster),poster,1isTCZIo4VCB3VGlXQUKnG2B4n27KuBDk
67,1080,607,1080,64160,landscape,35.2,hero (section background),hero,1jRINUv6pHW2HPYDzXS_HbI9m3z_1qMdH
68,791,661,791,45338,landscape,32.6,brand asset,logo,1j_Yq_7iIkLhfmRJuckiHavDDMiVXzCXF
69,1280,721,1280,113126,landscape,37.1,gallery,dance,1lFGPHa1YK1UecAtKi-uZa1dWp5zcxE9G
70,1280,721,1280,103373,landscape,36.6,gallery,dance,1lrgq7FIs1GhevmLihV-JTdjQL3VV_Si9
71,1600,901,1600,130964,landscape,27.6,hero (section background),hero,1m4INzIMGMefcwSUkQu7B_Yr_BtqriL66
72,1600,1066,1600,479641,landscape,41.7,gallery,art,1mM96GW5M1GG0AxkM2ckWuXkw92hlR1XJ
73,1600,1200,1600,109267,landscape,12.5,gallery,academics,1mTzuFBO0QunAxVApF9I4r6Mhs32_5a2L
74,1080,1558,1558,140175,portrait,16.0,not used,-,1oE8S7LFNQ29jKNtjhpXZ_xY0K1LPyFKm
75,718,1600,1600,135481,portrait,47.4,not used,-,1oFw71fqpgrtClXGwDQB_0zZ1WMw1uSmk
76,1280,853,1280,314065,landscape,60.9,not used,-,1oRDjM-NGEiXFhz_dmlLRYc_SfZbDwNGY
77,900,1280,1280,100320,portrait,15.3,gallery,art,1obvfy7o_iqJxP67r8ESDOsVwuH9u5TB3
78,1280,853,1280,297990,landscape,52.7,content source (poster),poster,1pI0jZqVU33zBY_Ylix4dmJ7LVRGkVfHA
79,1152,648,1152,110349,landscape,39.6,hero (section background),hero,1pRvPHJkcr-EieY0ADskmOImBZBMXBPY8
80,867,1156,1156,93868,portrait,28.0,gallery,art,1pcV1q9WxiDzCxNBPIXkIfyWBKCCjHM9M
81,1600,1200,1600,193181,landscape,23.6,gallery,music,1pibCmFCT2suTU_q9bf9jSb_bvy_wrwNf
82,1280,720,1280,177892,landscape,26.8,gallery,taekwondo,1qQg8xFFNi0G26IM9EYL0J9EmOUu3pRso
83,1600,738,1600,186959,landscape,46.6,gallery,academics,1qaJqNywGQo1JxYfDeMVGTL9RaQqQqYLp
84,1280,1280,1280,132181,square,34.8,brand asset,logo,1u0esGgOpwr3hNceD7OD5V75D4AGgtvN6
85,585,1040,1040,81283,portrait,33.0,gallery,art,1uotwkqcwWsEFsgnHm6769mkcAhNTeQbg
86,950,1280,1280,159685,portrait,39.0,content source (poster),poster,1v1Q0xSbsJkVcLEAuoIpxKGv4qf_vcYcY
87,585,1040,1040,81610,portrait,31.8,gallery,art,1vMmXuyQKBzFbsrIx2uaDKCPTLCpaLiMV
88,1600,1066,1600,502855,landscape,35.1,gallery,events,1vsb0l9turjmF6YtTXANiPFNIfDMe3ik1
89,1080,1432,1432,163640,portrait,21.2,gallery,chess,1wPtloBepTcZ1h4_-Zc-X1zADa7wEP0K9
90,1280,856,1280,293158,landscape,64.3,not used,-,1xJDWbg7gMNbM7JyDZUZJUkPlWdRRAN9I
91,1152,648,1152,88131,landscape,28.2,gallery,academics,1xo1DT35wGf5XitXrcUA8aOEBQPG95sko
92,1600,1066,1600,408549,landscape,30.8,gallery,events,1xx0LssykONLhQWsJboOXkQAFj1WzuAio
93,1080,607,1080,55153,landscape,33.1,gallery,music,1yLfJ8DxCyw3dZCf5HzhSNb9dT3AP3nwZ
94,1254,1254,1254,336259,square,64.3,content source (poster),poster,1yfnqmD-9I4iDJa-5fOISzsxTSVFSACDJ
95,1024,1536,1536,347542,portrait,65.2,content source (poster),poster,1zU4UGC3rgOZ_kmEqlO65CZjddmrjXJGT
96,1600,1200,1600,156176,landscape,12.0,gallery,music,1z_v769hLt3k2W5WRPOoELP9Iwd684Pmu
